118, 132, 30099, 8701, 4020
124, 124, 3211, 2550, 907
129, 138, 4347, 1893, 1427
398, 412, 16578, 10047, 5135
288, 303, 7265, 5167, 1478
920, 886, 21295, 11616, 4450
1062, 1172, 13689, 12814, 5319
2412, -2147483648, 61693, 3169092, 309166
157, 162, 7581, 4941, 1546
5, 5, 124, 135, 24
97, 98, 1380, 1741, 455
237, 240, 18258, 6355, 5343
148, 156, 15255, 10059, 3915
303, 356, 25737, 8344, 5816
53, 57, 2214, 881, 431
1007, 1228, 57003, 31285, 10937
239, 296, 4587, 2771, 1399
27, 24, 936, 1394, 566
39, 37, 1431, 575, 687
343, 353, 9073, 9021, 3066
-2147483648, -2147483648, -2147483648, -2147483648, 32505
52, 46, 471, 2767, 235
14, 16, 164, 205, 58
15, 17, 163, 223, 106
25, 31, 504, 364, 143
1365, 1279, 36811, 131861, 7339
1365, 1249, 34234, 179366, 4986
1365, 1246, 87266, 20380, 8143
