55061.8,2204.77,436.126,215.901
51452.5,1839.58,411.825,259.064
86648.7,2524.43,999.591,324.611
37125.5,1730.54,328.539,146.312
53724.6,1352.11,432.716,165.542
56686.9,1516.57,448.504,192.696
38694.7,643.936,548.482,232.676
87951.2,2175.53,554.396,211.016
55812.5,3177.27,482.207,231.598
48809.2,3429.91,437.103,227.347
48220.2,1231.8,437.942,185.428
32955.2,996.171,321.316,149.164
171972,4762.67,534.124,248.221
110062,1819.65,378.234,179.901
51268.7,1878.8,415.335,198.354
33876,935.574,381.389,258.354
86531.3,2986.88,355.171,132.964
113730,3866.68,373.611,149.018
53007.3,1360.86,362.209,212.369
55668.6,1732.1,495.998,267.118
35146.7,965.954,264.084,101.912
45425.7,1374.22,503.873,247.617
69321.4,2257.03,518.704,227.702
108787,2504.21,486.96,209.624
81118.3,2330.46,567.467,190.241
69522.9,2005.76,553.924,247.869
64753.8,1364.15,404.597,124.85
46388,1875.96,425.692,165.953
57505.7,2012.27,477.648,223.403
50826,1594.7,471.205,239.902
88925,1063.42,414.486,236.355
140325,1317.83,349.387,167.872
53814.1,661.032,182.669,79.3432
57136.9,632.467,165.666,90.5433
67420.7,2249.14,504.479,301.154
41297.4,527.846,384.154,109.148
59914.9,1712.77,437.28,160.072
104397,2600.13,454.945,149.892
63134.7,921.551,437.357,200.43
114559,2958.42,549.589,275.488
