15306.8,2133.76,442.001,223.757
11697.3,1777.88,417.733,266.59
37843.5,2677.94,1001.33,324.484
8426.59,1766.88,335.643,147.895
17719.3,1410.99,431.034,168.086
15377.9,1521.94,444.457,192
14998.8,644.83,568.067,240.118
20172,2285.99,554.2,216.122
26056,3228.09,479.611,233.897
13065.4,3377,439.738,225.974
11582.2,1214.53,415.603,180.771
7551.6,1001.52,319.347,148.251
19826.6,4591.45,529.671,250.945
12305.3,1793.44,375.396,181.52
15616,1984.94,397.195,193.404
10997.4,909.494,376.908,258.218
10959,2730.21,345.247,136.402
17845.7,3907.48,367.469,149.576
8640.81,1380.3,358.294,211.54
14947.1,1784.08,478.158,263.958
5869.04,926.81,260.195,101.945
13241.8,1302.05,494.587,249.273
19520.4,2171.46,506.531,231.985
19151.1,2236.38,469.063,207.29
18793.8,2178.97,543.137,189.047
19100.9,1896.46,558.984,248.788
9508.67,1311.84,389.878,122.11
10135.7,1781.65,413.874,165.048
16767.7,1920.27,462.591,227.769
14277.7,1597.47,458.835,240.373
15336.1,1403.33,435.271,239.579
17799.1,1658.8,369.372,170.26
6309.18,840.288,195.963,81.8704
5842.81,781.419,184.271,88.0621
23583,2764.61,534.563,300.435
7034.09,629.86,417.498,112.182
20141.9,2173.23,480.446,160.529
18367.8,3429.41,478.195,149.517
12303.9,1210.94,468.946,205.95
25279.9,3685.41,543.825,265.383
