79712, 79514
127455, 130699
286092, 309430
55514, 58004
189779, 193621
249337, 245918
144047, 133031
286491, 280528
419341, 423508
93712, 91141
99240, 93915
213167, 198972
58707, 59863
88899, 87543
68211, 66437
34381, 32386
308054, 290216
133938, 134319
100284, 95092
43152, 41289
46419, 41698
27278, 25978
87104, 85841
142501, 140149
275835, 274805
50644, 50936
98116, 83080
105795, 102732
138932, 138654
71404, 67048
137052, 140416
115730, 117349
171283, 173554
174528, 180066
60129, 60381
54353, 57877
99323, 96562
105565, 101551
111496, 112616
254562, 257465
45849, 46448
33139, 32272
166304, 163312
33975, 33111
107701, 103350
103439, 106474
73512, 65815
190851, 177722
77951, 76837
255010, 251391
